,Company,Date,Adj Close,Volume,press release,Price change 12mo,Price change 8mo,Price change 4mo,Price change,Price change pct,Compound,Negative,Neutral,Positive,polarity,subjectivity,text length,word_count,word_density,punctuation_count,upper_case_word_count,stopword_count,readability,noun_count,verb_count,adj_count,adv_count,pron_count,top_words,Price change sign long,Price change sign mid,Price change sign short,word_calculation
36,adobe,2018-01-01,199.759995,55307100,"Adobe delivered record revenue of $2 billion in Q4. Our strong business momentum is driven by the market-leading solutions we provide to empower people to create and businesses to digitally transform. Adobe achieved record annual and quarterly revenue, and the leverage in our business model once again drove record profit and earnings. We are raising our fiscal 2018 revenue target and remain bullish about delivering strong top line and bottom line growth.",26.480009999999996,70.19001700000001,49.520004,0.0,0.0,0.9403,0.0,0.786,0.214,0.3416666666666667,0.49166666666666664,458.0,72.0,6.273972602739726,7.0,1.0,25.0,10.943673226773226,22.0,13.0,10.0,3.0,5.0,"[('record', 3), ('revenue', 3), ('Adobe', 2), ('strong', 2), ('business', 2), ('line', 2), ('delivered', 1), ('$', 1), ('2', 1), ('billion', 1)]",1.0,1.0,1.0,7.275011146261795
48,adobe,2019-01-01,247.820007,68179500,"Adobe achieved record revenue of greater than $9 billion and delivered outstanding earnings performance in fiscal 2018. In 2018 we made significant investments across our product portfolio, entered new markets, and made strategic acquisitions which we believe will fuel continued top and bottom-line performance. We finished the year strong with record results across the board, meeting or exceeding all of our annual and quarterly targets which did not include Marketo. We’re excited to add Marketo and the expanded market opportunity it provides. We look forward to delivering strong revenue growth, accelerating earnings growth and healthy margin expansion during fiscal 2019.",81.989991,28.429993,23.07998699999999,0.0,0.0,0.9794,0.0,0.749,0.251,0.41700336700336693,0.6579124579124579,679.0,100.0,6.7227722772277225,11.0,0.0,32.0,11.366831910235359,27.0,19.0,15.0,3.0,8.0,"[('record', 2), ('revenue', 2), ('earnings', 2), ('performance', 2), ('fiscal', 2), ('2018', 2), ('strong', 2), ('Marketo', 2), ('growth', 2), ('Adobe', 1)]",1.0,1.0,1.0,41.5312920661202
60,adobe,2020-01-01,351.140015,44249000,"Adobe’s phenomenal performance in Q4 capped a record fiscal 2019 with revenue exceeding $11 billion. Adobe’s vision, category leadership, continuous product innovation and large and loyal customer base position us well for 2020 and beyond. Adobe delivered another year of strong revenue growth and expanding profitability resulting in record earnings. We are bullish about our opportunities and our ability to continue to deliver strong top- and bottom-line growth.",148.97998,139.28997800000002,35.459991,0.0,0.0,0.9786,0.0,0.648,0.352,0.2306122448979592,0.6755102040816326,465.0,68.0,6.739130434782608,9.0,1.0,19.0,13.152064835164836,26.0,9.0,11.0,1.0,4.0,"[('Adobe', 3), ('record', 2), ('revenue', 2), ('strong', 2), ('growth', 2), ('phenomenal', 1), ('performance', 1), ('Q4', 1), ('capped', 1), ('fiscal', 1)]",1.0,1.0,1.0,1.328890651351052
72,adobe,2021-01-01,458.769989,57398700,"Adobe delivered record Q4 and FY20 revenue performance amidst an unprecedented macroeconomic environment. As the undisputed leader in three growing categories - creativity, digital documents and customer experience management - we are well-positioned to capture the massive market opportunity ahead of us in 2021 and beyond. The resilience of our business, our operational discipline and ability to derive insights from real-time data has enabled us to thrive in 2020. Our record Q4 cash flow demonstrates the strength of our operating model, and we look forward to delivering strong top- and bottom-line growth in 2021.",108.29000899999994,116.94998199999998,45.80999800000001,0.0,0.0,0.9538,0.0,0.809,0.191,0.30666666666666664,0.6266666666666667,620.0,94.0,6.526315789473684,13.0,3.0,32.0,12.094770413739267,30.0,12.0,11.0,2.0,8.0,"[('record', 2), ('Q4', 2), ('2021', 2), ('Adobe', 1), ('delivered', 1), ('FY20', 1), ('revenue', 1), ('performance', 1), ('amidst', 1), ('unprecedented', 1)]",1.0,1.0,1.0,0.7270738659677435
84,adobe,2022-01-01,534.299988,84110900,"Adobe’s record performance in Q4 resulted in fiscal 2021 revenue exceeding $15 billion. Adobe’s vision, category leadership, ground-breaking technology and large and loyal customer base position us well for fiscal 2022 and beyond. Adobe’s financial performance in fiscal 2021 was outstanding, with top-line acceleration resulting in more than $7 billion in operating cash flows. With an estimated $205 billion addressable market, we are well positioned for significant growth in the years ahead with our industry-leading products and platforms.",-197.769989,-259.099976,-117.819977,0.0,0.0,0.9403,0.0,0.8,0.2,0.16037414965986393,0.6445578231292517,544.0,78.0,6.886075949367089,14.0,1.0,23.0,13.70759871685201,28.0,6.0,16.0,3.0,3.0,"[('Adobe', 3), ('fiscal', 3), ('$', 3), ('billion', 3), ('performance', 2), ('2021', 2), ('record', 1), ('Q4', 1), ('resulted', 1), ('revenue', 1)]",-1.0,-1.0,-1.0,2.8756618468603676
69,alphabet,2020-10-01,80.805496,854920000,"Our strong results this quarter reflect the helpfulness of our products and services to people and businesses, as well as the accelerating transition to online services and the cloud. Google succeeds when we help our customers and partners succeed, and we see significant opportunities to forge meaningful partnerships as businesses increasingly look to a digital future. Our strong fourth quarter performance, with revenues of $56.9 billion, was driven by Search and YouTube, as consumer and business activity recovered from earlier in the year. Google Cloud revenues were $13.1 billion for 2020, with significant ongoing momentum, and we remain focused on delivering value across the growth opportunities we see.",37.037003,22.320502999999988,10.5625,0.0,0.0,0.9876,0.0,0.702,0.298,0.2816666666666666,0.44416666666666665,714.0,108.0,6.5504587155963305,15.0,0.0,43.0,10.531440740740742,32.0,18.0,8.0,5.0,8.0,"[('strong', 2), ('quarter', 2), ('services', 2), ('businesses', 2), ('Google', 2), ('significant', 2), ('opportunities', 2), ('revenues', 2), ('$', 2), ('billion', 2)]",1.0,1.0,1.0,0.09839649138075002
81,alphabet,2021-10-01,148.046005,720758000,"Our deep investment in AI technologies continues to drive extraordinary and helpful experiences for people and businesses, across our most important products. Q4 saw ongoing strong growth in our advertising business, which helped millions of businesses thrive and find new customers, a quarterly sales record for our Pixel phones despite supply constraints, and our Cloud business continuing to grow strongly. Our fourth quarter revenues of $75 billion, up 32% year over year, reflected broad-based strength in advertiser spend and strong consumer online activity, as well as substantial ongoing revenue growth from Google Cloud. Our investments have helped us drive this growth by delivering the services that people, our partners and businesses need, and we continue to invest in long-term opportunities.",-34.28400400000001,-8.978499999999997,-12.742508000000017,0.0,0.0,0.9808,0.0,0.774,0.226,0.2966329966329966,0.6171717171717171,806.0,120.0,6.661157024793388,17.0,2.0,40.0,10.651,43.0,18.0,13.0,5.0,10.0,"[('businesses', 3), ('growth', 3), ('drive', 2), ('people', 2), ('ongoing', 2), ('strong', 2), ('business', 2), ('helped', 2), ('Cloud', 2), ('year', 2)]",-1.0,-1.0,-1.0,0.05802779639867598
93,alphabet,2022-10-01,94.510002,681488300,"Our long-term investments in deep computer science make us extremely well-positioned as AI reaches an inflection point, and I’m excited by the AI-driven leaps we’re about to unveil in Search and beyond. There’s also great momentum in Cloud, YouTube subscriptions, and our Pixel devices. We’re on an important journey to re-engineer our cost structure in a durable way and to build financially sustainable, vibrant, growing businesses across Alphabet. Our Q4 consolidated revenues were $76 billion, up 1% year over year, or up 7% in constant currency, and $283 billion for the full year 2022, up 10%, or up 14% in constant currency. We have significant work underway to improve all aspects of our cost structure, in support of our investments in our highest growth priorities to deliver long-term, profitable growth.",28.360001,9.220000999999996,4.329993999999999,0.0,0.0,0.9779,0.0,0.797,0.203,0.2128787878787879,0.575,815.0,130.0,6.221374045801527,28.0,2.0,48.0,11.985097681159422,42.0,18.0,15.0,9.0,12.0,"[('year', 3), ('long', 2), ('term', 2), ('investments', 2), ('AI', 2), ('cost', 2), ('structure', 2), ('$', 2), ('billion', 2), ('constant', 2)]",1.0,1.0,1.0,0.6545626076008949
36,amazon,2018-01-01,72.544502,1927424000,"Our 2017 projections for Alexa were very optimistic, and we far exceeded them. We don’t see positive surprises of this magnitude very often — expect us to double down,” said Jeff Bezos, Amazon founder and CEO. “We’ve reached an important point where other companies and developers are accelerating adoption of Alexa. There are now over 30,000 skills from outside developers, customers can control more than 4,000 smart home devices from 1,200 unique brands with Alexa, and we’re seeing strong response to our new far-field voice kit for manufacturers. Much more to come and a huge thank you to our customers and partners.",2.5540009999999995,27.605500000000006,8.936501000000007,0.0,0.0,0.9641,0.0,0.793,0.207,0.21285624098124095,0.5368799603174603,621.0,102.0,6.029126213592233,14.0,1.0,40.0,10.469518181818183,31.0,16.0,16.0,8.0,10.0,"[('Alexa', 3), ('far', 2), ('developers', 2), ('customers', 2), ('2017', 1), ('projections', 1), ('optimistic', 1), ('exceeded', 1), ('positive', 1), ('surprises', 1)]",1.0,1.0,1.0,0.9830065359477123
48,amazon,2019-01-01,85.936501,2680034000,"Alexa was very busy during her holiday season. Echo Dot was the best-selling item across all products on Amazon globally, and customers purchased millions more devices from the Echo family compared to last year,” said Jeff Bezos, Amazon founder and CEO. “The number of research scientists working on Alexa has more than doubled in the past year, and the results of the team’s hard work are clear. In 2018, we improved Alexa’s ability to understand requests and answer questions by more than 20% through advances in machine learning, we added billions of facts making Alexa more knowledgeable than ever, developers doubled the number of Alexa skills to over 80,000, and customers spoke to Alexa tens of billions more times in 2018 compared to 2017. We’re energized by and grateful for the response, and you can count on us to keep working hard to bring even more invention to customers.",6.455496999999994,0.8590009999999921,2.8170009999999905,0.0,0.0,0.9531,0.017,0.842,0.141,0.18435897435897436,0.3979487179487179,885.0,149.0,5.9,17.0,1.0,61.0,10.02145592356688,53.0,26.0,13.0,7.0,6.0,"[('Alexa', 6), ('customers', 3), ('Echo', 2), ('Amazon', 2), ('compared', 2), ('year', 2), ('number', 2), ('working', 2), ('doubled', 2), ('hard', 2)]",1.0,1.0,1.0,10.046959233682337
60,amazon,2020-01-01,100.435997,1693966000,"Prime membership continues to get better for customers year after year. And customers are responding — more people joined Prime this quarter than ever before, and we now have over 150 million paid Prime members around the world,” said Jeff Bezos, Amazon founder and CEO. “We’ve made Prime delivery faster — the number of items delivered to U.S. customers with Prime’s free one-day and same-day delivery more than quadrupled this quarter compared to last year. Members now have free two-hour grocery delivery from Amazon Fresh and Whole Foods Market in more than 2,000 U.S. cities and towns. Prime members watched double the hours of original movies and TV shows on Prime Video this quarter compared to last year, and Amazon Originals received a record 88 nominations and 26 wins at major awards shows. A huge thank you to teams across Amazon for their dedicated work to build, innovate, and deliver for customers this holiday.",62.4105,57.00049600000001,21.682503,0.0,0.0,0.9893,0.0,0.76,0.24,0.29583333333333334,0.4655555555555556,926.0,154.0,5.974193548387097,20.0,5.0,51.0,10.141564197530865,65.0,22.0,15.0,5.0,4.0,"[('Prime', 7), ('customers', 4), ('year', 4), ('Amazon', 4), ('quarter', 3), ('delivery', 3), ('members', 2), ('U.S.', 2), ('free', 2), ('day', 2)]",1.0,1.0,1.0,1.6915628232414464
72,amazon,2021-01-01,160.309998,1430578000,"Amazon is what it is because of invention. We do crazy things together and then make them normal. We pioneered customer reviews, 1-Click, personalized recommendations, Prime’s insanely-fast shipping, Just Walk Out shopping, the Climate Pledge, Kindle, Alexa, marketplace, infrastructure cloud computing, Career Choice, and much more. If you do it right, a few years after a surprising invention, the new thing has become normal. People yawn. That yawn is the greatest compliment an inventor can receive. When you look at our financial results, what you’re actually seeing are the long-run cumulative results of invention. Right now I see Amazon at its most inventive ever, making it an optimal time for this transition.",6.40699699999999,3.9420010000000048,0.8435049999999933,0.0,0.0,0.8979,0.02,0.856,0.125,0.24341372912801482,0.5304267161410018,719.0,112.0,6.3628318584070795,26.0,1.0,48.0,9.625233333333332,34.0,20.0,15.0,12.0,14.0,"[('invention', 3), ('Amazon', 2), ('normal', 2), ('yawn', 2), ('results', 2), ('crazy', 1), ('things', 1), ('pioneered', 1), ('customer', 1), ('reviews', 1)]",1.0,1.0,1.0,1.8877665544332212
84,amazon,2022-01-01,149.573502,1524654000,"A big thank you to employees across Amazon who overcame another quarter of COVID-related challenges and delivered for customers this holiday season. Given the extraordinary growth we saw in 2020 when customers predominantly stayed home, and the fact that we’ve continued to grow on top of that in 2021, our Retail teammates have effectively operated in peak mode for almost two years. It’s been a tremendous effort, and I’m appreciative and proud of how hard our teams have worked to serve customers. As expected over the holidays, we saw higher costs driven by labor supply shortages and inflationary pressures, and these issues persisted into the first quarter due to Omicron. Despite these short-term challenges, we continue to feel optimistic and excited about the business as we emerge from the pandemic. When you combine how we’re staffing and scaling our fulfillment network to bring even faster delivery to more customers, the extraordinary growth of AWS with 40% year-over-year growth (and now a $71 billion revenue run rate), the addition of marquee new entertainment like The Lord of the Rings: The Rings of Power and Thursday Night Football, and a plethora of new capabilities that we’re building in areas like Alexa, Ring, Grocery, Pharmacy, Amazon Care, Kuiper, and Zoox, there’s a lot to look forward to in the months and years ahead. Amazon also continues to invest heavily in Prime. In the last few years, Amazon has added more product selection available with fast, free, unlimited Prime shipping; more exclusive deals and discounts; and more high-quality digital entertainment, including TV, movies, music, and books. Since 2018, Prime Video has tripled the number of Amazon Originals, rolling out new series and movies like The Boys, The Wheel of Time, Tom Clancy’s Jack Ryan, The Underground Railroad, Sound of Metal, Coming 2 America, The Tomorrow War, and Being the Ricardos. This September, Prime Video will release the highly anticipated The Lord of the Rings: The Rings of Power and become the exclusive home of Thursday Night Football as part of a historic 11-year agreement with the National Football League (NFL). Since 2018 in the U.S., availability of Free Same-Day Delivery has expanded from 48 metropolitan areas to more than 90, items available for Prime free shipping have increased over 50%, and members have saved billions of dollars shopping Prime Day. This is all on top of new program benefits like prescription savings and fast, free delivery from Amazon Pharmacy and the continually growing Amazon Music for Prime members, Prime Reading, and Prime Gaming. With the continued expansion of Prime member benefits as well as the rise in wages and transportation costs, Amazon will increase the price of a Prime membership in the U.S., with the monthly fee going from $12.99 to $14.99, and the annual membership from $119 to $139. This is the first time Amazon has raised the price of Prime since 2018. For new Prime members, the price change will go into effect on February 18, 2022, and for current Prime members, the new price will apply after March 25, 2022, on the date of their next renewal.",-65.57350199999999,-36.57350199999999,-29.363998999999996,0.0,0.0,0.9976,0.018,0.799,0.183,0.24742079889807167,0.5106198347107438,3134.0,516.0,6.061895551257253,91.0,6.0,197.0,10.76103588492808,185.0,62.0,53.0,21.0,16.0,"[('Prime', 14), ('Amazon', 9), ('new', 6), ('$', 5), ('customers', 4), ('like', 4), ('Rings', 4), ('members', 4), ('price', 4), ('growth', 3)]",-1.0,-1.0,-1.0,38.81061768413991
36,amd,2018-01-01,13.74,1335288900,"2017 marked a key inflection point for AMD as we re-shaped our product portfolio, delivered 25 percent annual revenue growth, expanded gross margin and achieved full-year profitability. We are even more excited about 2018 as we launch our next wave of high-performance products and continue to position AMD as one of the premier long-term growth companies in the technology industry.",4.719999,17.149999,-0.0099999999999997,0.0,0.0,0.7089,0.046,0.808,0.147,0.1625,0.47500000000000003,383.0,60.0,6.278688524590164,8.0,2.0,21.0,13.515500000000001,19.0,8.0,8.0,3.0,5.0,"[('AMD', 2), ('growth', 2), ('2017', 1), ('marked', 1), ('key', 1), ('inflection', 1), ('point', 1), ('shaped', 1), ('product', 1), ('portfolio', 1)]",1.0,1.0,-1.0,0.33375268651881507
48,amd,2019-01-01,24.41,2311913200,"In 2018 we delivered our second straight year of significant revenue growth, market share gains, expanded gross margin and improved profitability based on our high-performance products. Importantly, we more than doubled our EPYC processor shipments sequentially and delivered record GPU datacenter revenue in the quarter. Despite near-term graphics headwinds, 2019 is shaping up to be another exciting year driven by the launch of our broadest and most competitive product portfolio ever with our next-generation 7nm Ryzen, Radeon, and EPYC products.",21.450001,4.579999999999998,3.0,0.0,0.0,0.9476,0.032,0.721,0.247,0.26785714285714285,0.43928571428571433,550.0,80.0,6.790123456790123,12.0,3.0,27.0,12.363968679245284,28.0,10.0,9.0,5.0,7.0,"[('delivered', 2), ('year', 2), ('revenue', 2), ('products', 2), ('EPYC', 2), ('2018', 1), ('second', 1), ('straight', 1), ('significant', 1), ('growth', 1)]",1.0,1.0,1.0,0.7880006356617767
60,amd,2020-01-01,47.0,1227882000,2019 marked a significant milestone in our multi-year journey as we successfully launched and ramped the strongest product portfolio in our 50-year history. We delivered significant margin expansion and increased profitability as we gained market share with our Ryzen and EPYC processors. Our focused execution and the investments we made in our high-performance computing roadmaps position us well for continued growth in 2020 and beyond.,44.709999,34.989998,6.799999,0.0,0.0,0.9702,0.0,0.658,0.342,0.4,0.825,439.0,65.0,6.651515151515151,6.0,1.0,25.0,12.362455151515151,20.0,6.0,8.0,2.0,10.0,"[('significant', 2), ('year', 2), ('2019', 1), ('marked', 1), ('milestone', 1), ('multi', 1), ('journey', 1), ('successfully', 1), ('launched', 1), ('ramped', 1)]",1.0,1.0,1.0,1.6058156976312468
72,amd,2021-01-01,85.639999,997848700,"We significantly accelerated our business in 2020, delivering record annual revenue while expanding gross margin and more than doubling net income from 2019. Our 2021 financial outlook highlights the strength of our product portfolio and robust demand for high-performance computing across the PC, gaming and data center markets. We are excited about the opportunities ahead and very confident in our long-term strategy as we continue executing our leadership product roadmaps.",58.25999499999999,17.260002999999998,-5.55999700000001,0.0,0.0,0.8588,0.056,0.771,0.173,0.22499999999999998,0.403125,477.0,70.0,6.71830985915493,7.0,1.0,27.0,12.285595827338131,22.0,9.0,8.0,3.0,8.0,"[('product', 2), ('significantly', 1), ('accelerated', 1), ('business', 1), ('2020', 1), ('delivering', 1), ('record', 1), ('annual', 1), ('revenue', 1), ('expanding', 1)]",1.0,1.0,-1.0,0.588895367670878
84,amd,2022-01-01,114.25,1638612600,"2021 was an outstanding year for AMD with record annual revenue and profitability. Each of our businesses performed extremely well, with data center revenue doubling year-over-year driven by growing adoption of AMD EPYC processors across cloud and enterprise customers. We expect another year of significant growth in 2022 as we ramp our current portfolio and launch our next generation of PC, gaming and data center products.",-49.480003,-50.889999,-12.389999000000005,0.0,0.0,0.9117,0.0,0.804,0.196,0.07857142857142858,0.4785714285714286,426.0,66.0,6.358208955223881,7.0,4.0,22.0,11.166243030303031,24.0,9.0,6.0,2.0,5.0,"[('year', 4), ('AMD', 2), ('revenue', 2), ('data', 2), ('center', 2), ('2021', 1), ('outstanding', 1), ('record', 1), ('annual', 1), ('profitability', 1)]",-1.0,-1.0,-1.0,0.7553044961816271
